,log.installment,fico,purpose_credit_card,revol.util,log.days.with.cr.line,poss.getting.loan,loan.info,purpose_educational,log.annual.inc,credit.policy,log.int.rate,dti,fico.to.delinq.2yrs,pub.rec_0,purpose_major_purchase,inq.last.6mths,revol.bal.to.annual.income,purpose_small_business,pub.rec_1,credit.value,target
0,0.964136797014081,0.5813953488372093,0,0.43781512605042017,0.6570174905521792,0.0,0.3445621248383165,0,0.6133980058522311,1,0.4199425087162663,0.650200267022697,0.21416784030833966,1,0,0.0,0.09288457406735387,0,0,0.31183195049512424,1
1,0.5965331983595256,0.4418604651162791,1,0.6445378151260505,0.44209535959921786,0.0,0.12104456423785012,0,0.5406717991924763,1,0.3376108357134573,0.4769692923898531,0.15531777290781792,1,0,0.0,0.14154013243471927,0,0,0.14667400806417472,1
2,0.7316554279976817,0.32558139534883723,0,0.21512605042016808,0.602824147706466,0.0070379167766341155,0.41230694241572263,0,0.3485568381634597,1,0.5356746110351966,0.38818424566088117,0.07023023773583274,1,0,0.030303030303030304,0.030021842765179482,0,0,0.2585013161366735,1
3,0.4997383005814982,0.46511627906976744,0,0.6151260504201681,0.4354815081225954,0.009768009768009768,0.06411261023631594,0,0.6133980058522311,1,0.2932940397732151,0.27036048064085444,0.20667494683598886,1,0,0.030303030303030304,0.10837821290377775,0,0,0.14323077832427963,1
4,0.3705599510569704,0.2558139534883721,1,0.3319327731092437,0.5586056595579469,0.0,0.04355853408838613,0,0.5996602335401949,1,0.5827122520789362,0.49966622162883845,0.08829357603573963,1,0,0.0,0.016051790282315934,0,0,0.10495382005251175,1
5,0.4258896420696743,0.5348837209302325,1,0.42857142857142855,0.6815877300605921,0.0,0.026048723641345556,0,0.7637391627801605,1,0.13652270494745547,0.5667556742323098,0.372668098478441,1,0,0.0,0.09393303005020358,0,0,0.3393634514652222,1
6,0.5503764654357078,0.2558139534883721,0,0.6453781512605041,0.48469581417252183,0.0,0.15535292446320323,0,0.44098183206646396,1,0.6301422283152861,0.13351134846461948,0.09911225690105677,0,0,0.0,0.023343291425956144,0,1,0.1707622792943772,0
7,0.4393596052354682,0.5116279069767442,0,0.5764705882352941,0.627692138829259,0.0,0.07473664239269993,0,0.5189722685582421,1,0.36771423863907676,0.369826435246996,0.14602658467837676,1,0,0.0,0.11045347480909735,0,0,0.2817843351507429,0
8,0.32367545435837786,0.32558139534883723,0,0.4294117647058824,0.5528557214618351,0.00487062404870624,0.0315109572862745,0,0.628893616493089,1,0.38167615917722697,0.5757676902536716,0.20970736406901289,1,0,0.030303030303030304,0.21254313118142076,0,0,0.21715388581858575,1
9,0.3135541308945809,0.4418604651162791,0,0.19327731092436976,0.4388134945941112,0.00808080808080808,0.10937611971672336,0,0.30249731040375544,1,0.4421201034028775,0.33377837116154874,0.06058644292362542,1,0,0.030303030303030304,0.057055974449693396,0,0,0.14495597743149297,1
10,0.7266181132416313,0.3023255813953488,0,0.5966386554621849,0.7094039353993862,0.007699340743948799,0.3806904684214987,0,0.3649921362546763,1,0.5288338617279155,0.7373164218958611,0.0744403621764241,0,0,0.06060606060606061,0.11142994238121799,0,1,0.3733704225867563,1
11,0.6265081677287696,0.23255813953488372,0,0.15294117647058822,0.5752940354955224,0.017497812773403322,0.06327501255974351,0,0.7447734310247911,1,0.5130772318624071,0.30574098798397864,0.15434105136165335,1,0,0.06060606060606061,0.010155866506888132,0,0,0.11160611119938847,1
12,0.6892483652917688,0.7209302325581395,0,0.1403361344537815,0.7006261644825015,0.0,0.19249472337252446,0,0.5002683429151861,1,0.18746379267807958,0.517022696929239,0.14472899206498036,1,0,0.0,0.02964927233152943,0,0,0.3622976074714316,1
13,0.3413532795759056,0.627906976744186,0,0.04033613445378151,0.5812523773914222,0.0,0.028779542036666876,0,0.6574567875099564,1,0.08307111820732958,0.21695594125500667,0.12497596123014841,1,0,0.0,0.008266224987322508,1,0,0.11407204671073082,1
14,0.572250347074648,0.5348837209302325,0,0.37478991596638656,0.2705414505856829,0.0,0.5482368213119244,0,0.1084931495606759,1,0.19032379385632547,0.3247663551401869,0.027114894919020957,1,0,0.0,0.13022084070638454,0,0,0.07785481360497261,1
15,0.6993548027517785,0.4186046511627907,0,0.44873949579831934,0.768111560495078,0.006331117442228553,0.24853134700892757,0,0.44762308147851193,1,0.36002446898465656,0.4352469959946595,0.10742824715593377,1,1,0.030303030303030304,0.03200485072395734,0,0,0.4563472409272767,1
16,0.29111681599910993,0.27906976744186046,0,0.7428571428571429,0.5457579719389375,0.0,0.07307681382149123,0,0.3890270174250129,1,0.5082753831355619,0.07543391188251,0.08130964931710634,1,0,0.0,0.016284073000563264,0,0,0.21181819394207904,1
17,0.8062206486211796,0.8604651162790697,1,0.4428571428571429,0.7002107003418041,0.011014732204323282,0.14732195609246723,0,0.6832953200966762,1,0.21245316135764866,0.23598130841121495,0.3024076770306978,1,0,0.030303030303030304,0.018870206355980322,0,0,0.3617814814341741,1
